t,Linear,DeltaNet,VLA
339,652.5615,1.7378,15.9737
340,655.8976,2.4304,15.9898
341,659.8939,2.1304,16.1907
342,659.5009,1.4306,16.0996
343,663.562,1.914,16.3343
344,660.7244,2.0037,16.2565
345,660.7358,1.7612,16.2463
346,664.1947,2.0448,16.4558
347,663.0104,2.0068,16.4808
348,664.0255,1.656,16.3581
349,668.0634,2.0307,16.6123
350,663.4639,1.4462,16.5163
351,667.7499,1.8914,16.7123
352,666.6164,1.8182,16.5598
353,670.2542,2.0515,16.792
354,673.78,2.0961,16.7358
355,674.8269,1.9948,16.8355
356,675.5538,2.1937,16.6718
357,679.267,2.0321,16.9145
358,681.6883,1.6977,16.7859
359,685.1657,2.3496,16.8583
360,689.5028,1.9225,16.8965
361,689.9869,1.7897,16.9711
362,692.6078,2.3547,16.93
363,696.8194,2.2658,17.1648
364,700.7566,2.17,17.0682
365,703.998,2.215,17.2725
366,704.7463,1.7861,17.1906
367,706.8973,2.2246,17.1703
368,706.9965,2.1036,17.2742
369,709.2248,2.3373,17.2305
370,711.5078,2.1853,17.2388
371,714.3777,1.975,17.2274
372,715.4471,1.7681,17.3291
373,718.2006,1.9417,17.3626
374,720.421,2.0938,17.4174
375,723.0482,1.848,17.3704
376,725.7645,2.3746,17.3953
377,730.0233,2.1985,17.588
378,732.5121,1.7842,17.4872
379,735.6334,1.8651,17.5244
380,739.0262,2.1056,17.5367
381,739.5389,1.7078,17.6365
382,742.2211,1.8622,17.7846
383,744.9169,2.1813,17.7071
384,746.6192,2.6363,17.7201
385,749.8262,2.2442,17.8963
386,750.5692,1.8116,17.9255
387,749.8206,1.865,17.9708
388,754.1006,2.2128,17.9554
389,753.3515,1.9294,17.9331
390,756.3193,2.4834,17.9571
391,760.8279,2.2386,18.1696
392,759.6208,1.6572,18.1131
393,763.9062,1.6456,18.3373
394,764.7869,1.7452,18.1389
395,765.4982,1.9554,18.2464
396,769.3076,2.2157,18.4022
397,769.2487,2.0154,18.4679
398,772.6904,2.2219,18.3642
399,774.882,2.3841,18.4262
400,778.5473,2.224,18.4617
401,782.5745,2.4188,18.7048
402,781.7711,2.0827,18.4796
403,787.6391,2.0093,18.6957
404,789.5295,1.6634,18.6236
405,788.041,1.4898,18.626
406,791.6395,2.2291,18.6717
407,795.7214,2.323,18.8502
408,794.5923,1.8376,18.8869
409,797.8712,2.2237,18.8494
410,798.614,1.697,18.8004
411,801.1699,2.159,18.8649
412,802.6569,1.6752,18.9798
413,805.5866,2.1162,19.005
414,805.6241,1.6,19.0999
415,807.6079,2.4336,19.036
416,811.31,2.1685,19.2557
417,816.0838,1.9865,19.2515
418,816.7504,1.7933,19.3136
419,819.9833,2.0507,19.2916
420,824.6059,2.1474,19.4336
421,826.1276,1.7178,19.332
422,826.5493,1.7941,19.3838
423,828.2938,1.8031,19.3779
424,830.7994,1.942,19.4342
425,834.8489,2.3892,19.6255
426,834.0479,2.1666,19.4821
427,837.9352,1.9351,19.6749
428,839.4264,2.0482,19.6112
429,839.2095,1.8654,19.6752
430,838.8835,1.7134,19.7152
431,840.7188,1.8394,19.7075
432,844.2251,2.2006,19.8874
433,845.5733,1.8032,19.8558
434,849.0167,2.2348,19.9503
435,849.5422,1.6912,19.9284
436,851.7111,2.1029,19.962
437,852.3643,1.6802,20.0097
438,855.5449,2.0687,20.0193
439,856.5104,1.9556,20.1598
440,858.2116,1.809,20.1402
441,864.278,2.2815,20.3339
442,859.7305,1.6747,20.2194
443,863.4327,1.9286,20.4056
444,862.7812,1.7791,20.4442
445,865.992,2.2776,20.4483
446,867.3073,1.7647,20.4803
447,868.9995,2.2559,20.4902
448,870.4744,1.6285,20.5484
449,873.7141,2.2345,20.5955
450,873.525,1.8605,20.6955
451,877.4014,2.3257,20.8634
452,877.6709,1.7998,20.7933
453,880.2825,2.1562,20.8153
454,881.0574,2.2554,20.6806
455,884.7421,2.2377,20.8823
456,881.5749,1.7012,20.7648
457,885.4835,1.794,20.9787
458,887.7272,2.2006,20.9772
459,888.9554,1.989,21.0412
460,892.549,1.9208,21.2157
461,893.1083,1.6901,21.1364
462,896.1456,2.139,21.1223
463,899.7443,1.4047,21.1655
464,901.1028,1.91,21.185
465,905.1682,2.0865,21.1978
466,906.3286,1.8217,21.337
467,908.3533,1.8954,21.3163
468,913.0145,2.2675,21.4979
469,912.8661,1.8062,21.4289
470,917.3559,1.9071,21.5928
471,912.6158,1.4489,21.5678
472,915.4828,2.0213,21.5799
473,917.5342,1.9537,21.6457
474,920.2565,2.0598,21.6238
475,920.7201,2.055,21.7686
476,922.4181,1.7124,21.7677
477,927.4991,2.2215,21.9642
478,929.6318,2.373,21.9743
479,929.8555,1.9583,21.9716
480,931.0566,1.2333,22.0159
481,934.2005,1.8651,22.0276
482,933.6675,1.8083,22.1232
483,936.6658,2.3788,22.0842
484,941.5544,2.3127,22.2271
485,945.0794,2.2971,22.1243
486,946.5002,1.9746,22.2376
487,951.0303,2.0955,22.3589
488,952.9093,1.8793,22.2648
489,952.3954,1.5196,22.2808
490,955.3125,2.0846,22.3311
491,960.2923,2.1831,22.4712
492,962.2164,2.2489,22.3369
493,965.2224,1.9838,22.3624
494,965.5858,1.6926,22.371
495,966.9484,1.2842,22.3774
496,970.097,2.1092,22.3959
497,969.871,1.7916,22.4896
498,975.5266,2.1819,22.6535
499,974.5118,2.2878,22.5343
500,979.5716,2.0007,22.7355
501,982.4619,2.114,22.6259
502,981.7055,1.7315,22.7452
503,984.6169,2.1578,22.7354
504,985.7964,2.3879,22.715
505,988.1722,2.0042,22.7652
506,988.6828,1.7107,22.8552
507,992.4787,2.0373,22.8541
508,993.3428,2.0554,22.9674
509,995.8961,1.9482,22.9702
510,1000.5118,2.0822,23.1872
511,1003.7502,2.4402,23.1491
512,1006.5029,1.9027,23.072
513,1010.1335,1.5278,23.0872
514,1010.8826,2.1139,23.1086
515,1015.3896,2.3591,23.2571
516,1013.9545,1.9168,23.2063
517,1013.1395,1.6278,23.193
518,1017.3507,2.1516,23.1857
519,1017.702,1.894,23.3313
520,1015.2673,1.4317,23.2596
521,1019.9279,2.2821,23.4814
522,1022.9811,2.065,23.459
523,1022.3028,1.779,23.5106
524,1025.5094,2.1055,23.5255
525,1029.9596,2.1662,23.6223
526,1031.0208,1.8564,23.589
527,1033.5891,2.3972,23.5785
528,1033.5386,1.799,23.6929
529,1032.8735,1.4269,23.7584
530,1036.639,2.1208,23.6919
531,1040.4827,2.2189,23.715
532,1040.4393,2.3862,23.72
533,1045.6199,2.2845,23.9132
534,1048.2546,1.8294,23.8589
535,1049.696,1.9289,23.8545
536,1054.3086,1.9565,23.9931
537,1055.6075,1.7039,23.9969
538,1053.5043,1.3835,23.9462
539,1056.7286,2.2772,24.0167
540,1061.1757,2.1986,24.1502
541,1063.3258,2.2856,24.047
542,1065.8207,2.2283,24.0919
543,1066.3729,1.9433,24.0968
544,1069.6063,1.9409,24.1233
545,1069.1095,2.0499,24.2095
546,1071.7107,2.0981,24.2386
547,1073.6589,2.3345,24.2068
548,1077.9862,2.1269,24.3775
549,1080.5375,2.3917,24.2519
550,1082.7671,2.1714,24.2826
551,1082.6937,2.0248,24.3867
552,1087.0149,2.334,24.5575
