t,vla_S,la_S,vla_A
400,73.1658,3339.6416,98.7825
401,73.2654,3349.5178,98.7597
402,73.3123,3369.6838,98.7341
403,73.4363,3388.6331,98.7118
404,73.6049,3392.4785,98.6873
405,73.5762,3395.2812,98.6647
406,73.6833,3410.0229,98.642
407,73.7246,3418.623,98.6139
408,73.8743,3423.9585,98.5942
409,73.9498,3443.8789,98.5746
410,73.9546,3446.5574,98.551
411,74.0308,3452.7529,98.5229
412,74.1917,3460.886,98.5035
413,74.2993,3473.4719,98.4827
414,74.4191,3487.5723,98.4582
415,74.447,3490.1646,98.4376
416,74.4955,3502.7764,98.4146
417,74.6636,3508.345,98.3953
418,74.7521,3515.0159,98.3699
419,74.9137,3509.7231,98.3454
420,74.9587,3508.123,98.3363
421,75.0002,3509.0183,98.3146
422,75.1843,3509.302,98.2899
423,75.2075,3517.3306,98.268
424,75.2881,3519.7644,98.2446
425,75.5138,3530.1636,98.2251
426,75.5658,3539.5422,98.2022
427,75.7076,3548.1399,98.1762
428,75.7754,3565.2822,98.1539
429,75.8321,3578.1016,98.1272
430,75.9306,3585.9302,98.1034
431,76.0175,3596.3562,98.0829
432,76.0697,3607.7644,98.0601
433,76.1851,3608.8735,98.0397
434,76.3446,3626.6208,98.0194
435,76.5452,3639.6455,98.0004
436,76.4547,3653.5156,97.9831
437,76.5214,3673.2119,97.9639
438,76.6661,3696.2676,97.9451
439,76.7815,3714.624,97.9245
440,76.7829,3726.7883,97.9104
441,76.8945,3737.9373,97.8914
442,76.8953,3747.3743,97.8714
443,76.9234,3756.7595,97.8485
444,77.0905,3764.9358,97.8316
445,77.1479,3774.9451,97.8124
446,77.1945,3779.5447,97.7932
447,77.2654,3794.4392,97.7753
448,77.3546,3793.824,97.7574
449,77.3785,3804.0488,97.7399
450,77.45,3807.8716,97.7182
451,77.5547,3806.2114,97.6985
452,77.6417,3811.1472,97.68
453,77.8201,3806.8735,97.6536
454,77.824,3816.1414,97.631
455,77.9026,3809.886,97.613
456,78.0138,3804.2048,97.5887
457,78.0966,3824.4304,97.5652
458,78.1099,3836.1052,97.547
459,78.1606,3842.3533,97.5253
460,78.1989,3856.3704,97.5156
461,78.2649,3857.4153,97.4991
462,78.2982,3857.2161,97.4786
463,78.3174,3867.905,97.4591
464,78.3721,3882.9233,97.44
465,78.4504,3897.1035,97.4167
466,78.529,3901.1013,97.3935
467,78.6257,3906.603,97.3702
468,78.732,3933.0073,97.351
469,78.7577,3932.6802,97.3281
470,78.9175,3941.7356,97.3081
471,78.9786,3948.3176,97.2906
472,79.0859,3955.8494,97.2691
473,79.18,3961.293,97.2487
474,79.2776,3966.2222,97.2269
475,79.3652,3978.4646,97.2049
476,79.3997,3979.24,97.1875
477,79.4122,3998.3472,97.1674
478,79.5501,4005.8643,97.1464
479,79.5914,4003.5093,97.1275
480,79.6541,4010.4045,97.1211
481,79.7061,4015.5002,97.1037
482,79.8889,4019.9937,97.0838
483,80.0414,4034.686,97.0634
484,80.1047,4032.5205,97.0435
485,80.2619,4036.3386,97.0238
486,80.3789,4049.1543,97.0071
487,80.4368,4055.2966,96.9847
488,80.5393,4067.6917,96.9658
489,80.6241,4067.2319,96.9484
490,80.6066,4067.3103,96.9287
491,80.6816,4073.478,96.9078
492,80.733,4090.6121,96.8898
493,80.8225,4102.7441,96.8666
494,80.8843,4110.4326,96.8437
495,80.9272,4110.3145,96.8248
496,81.0336,4118.4795,96.8088
497,81.1219,4117.7827,96.7865
498,81.1659,4132.0132,96.7702
499,81.2967,4127.2358,96.7533
500,81.3433,4130.1816,96.7398
501,81.351,4127.2612,96.7254
502,81.409,4131.6494,96.7081
503,81.4677,4141.3223,96.6877
504,81.5639,4148.3423,96.6661
505,81.6842,4151.6255,96.6468
506,81.7331,4158.7329,96.6281
507,81.7865,4163.3369,96.6109
508,81.8166,4178.4502,96.5949
509,81.8904,4186.8179,96.5772
510,82.0102,4182.8169,96.5592
511,82.0855,4184.4487,96.5408
512,82.1858,4192.0645,96.5263
513,82.3002,4207.4756,96.5083
514,82.3491,4215.0322,96.489
515,82.4845,4223.4419,96.4704
516,82.5637,4236.1689,96.4465
517,82.5953,4250.2397,96.4276
518,82.6827,4258.2876,96.4091
519,82.6752,4256.1753,96.3896
520,82.8462,4262.7896,96.3796
521,82.9367,4276.5229,96.3579
522,83.0185,4279.2593,96.3421
523,82.9615,4290.8403,96.3242
524,83.168,4293.1606,96.3094
525,83.1648,4310.8257,96.2893
526,83.2381,4313.5244,96.2748
527,83.3242,4320.1162,96.2561
528,83.3702,4324.5771,96.2384
529,83.4657,4338.9888,96.2196
530,83.5954,4339.064,96.2007
531,83.6951,4350.394,96.182
532,83.7382,4350.8472,96.1672
533,83.8452,4342.8706,96.1508
534,83.8427,4347.4053,96.1316
535,83.8606,4353.4141,96.1145
536,83.9596,4357.0571,96.0928
537,83.9729,4373.127,96.0737
538,84.0697,4377.1069,96.0556
539,84.1339,4380.6172,96.0369
540,84.2352,4378.1523,96.0288
541,84.2642,4382.5234,96.0065
542,84.312,4385.7949,95.9872
543,84.3895,4380.2476,95.9695
544,84.4049,4382.6343,95.9533
545,84.6073,4387.5645,95.9336
546,84.6753,4387.5205,95.9174
547,84.7253,4392.5693,95.9023
548,84.8221,4399.9033,95.8877
549,84.8696,4405.186,95.8717
550,84.9161,4408.5605,95.8495
551,84.9952,4418.0366,95.8351
552,85.028,4413.2173,95.8166
553,85.1097,4420.2559,95.7969
554,85.2095,4418.4858,95.7786
555,85.218,4418.9209,95.7606
556,85.3884,4440.8022,95.741
557,85.4077,4447.0312,95.7261
558,85.4859,4445.7798,95.7085
559,85.5803,4446.8145,95.6872
560,85.678,4445.6836,95.6782
561,85.6938,4445.3169,95.6592
562,85.791,4451.9878,95.6382
563,85.8164,4463.6289,95.6179
564,85.8867,4470.4756,95.5996
565,85.9079,4481.4468,95.5797
566,86.0265,4494.8403,95.5633
567,86.0132,4505.5776,95.5512
568,86.1002,4513.6826,95.5335
569,86.2076,4527.1753,95.5135
570,86.2355,4548.3979,95.495
571,86.28,4562.6279,95.4765
572,86.2864,4581.0249,95.459
573,86.3811,4583.271,95.4433
574,86.4477,4588.104,95.4257
575,86.5473,4595.5791,95.4099
576,86.627,4609.2559,95.3925
577,86.6977,4613.4355,95.3747
578,86.7652,4617.4771,95.3577
579,86.8496,4624.4751,95.3427
