============================================================
🚀 Starting Phase C1: Associative Key-Value Recall Task
============================================================
📦 Config: D_model=64, Layers=2, Pairs=15
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 089/100: 100% 94/94 [00:21<00:00,  4.43it/s, Loss=4.5965, A_kappa=3.3e+03, S_norm=2115.7, Mem(MB)=21]
Epoch 090/100: 100% 94/94 [00:21<00:00,  4.38it/s, Loss=4.5993, A_kappa=4.3e+03, S_norm=2659.1, Mem(MB)=21]
Epoch 091/100: 100% 94/94 [00:21<00:00,  4.35it/s, Loss=4.5949, A_kappa=4.8e+03, S_norm=3810.1, Mem(MB)=21]
Epoch 092/100: 100% 94/94 [00:21<00:00,  4.44it/s, Loss=4.5974, A_kappa=3.7e+03, S_norm=2346.9, Mem(MB)=21]
Epoch 093/100: 100% 94/94 [00:21<00:00,  4.41it/s, Loss=4.6057, A_kappa=4.8e+03, S_norm=3125.1, Mem(MB)=21]
Epoch 094/100: 100% 94/94 [00:21<00:00,  4.38it/s, Loss=4.5930, A_kappa=4.4e+03, S_norm=2761.4, Mem(MB)=21]
Epoch 095/100: 100% 94/94 [00:21<00:00,  4.37it/s, Loss=4.5959, A_kappa=3.6e+03, S_norm=2357.9, Mem(MB)=21]
Epoch 096/100: 100% 94/94 [00:21<00:00,  4.42it/s, Loss=4.5952, A_kappa=3.8e+03, S_norm=2382.1, Mem(MB)=21]
Epoch 097/100: 100% 94/94 [00:21<00:00,  4.43it/s, Loss=4.5992, A_kappa=3.9e+03, S_norm=2347.4, Mem(MB)=21]
Epoch 098/100: 100% 94/94 [00:21<00:00,  4.39it/s, Loss=4.5920, A_kappa=3.1e+03, S_norm=2504.8, Mem(MB)=21]
Epoch 099/100: 100% 94/94 [00:21<00:00,  4.39it/s, Loss=4.5908, A_kappa=3.7e+03, S_norm=3497.7, Mem(MB)=21]
Epoch 100/100: 100% 94/94 [00:21<00:00,  4.36it/s, Loss=4.5956, A_kappa=4.7e+03, S_norm=4525.3, Mem(MB)=21]
✅ Epoch 100 Completed | Avg Loss: 4.5963
------------------------------------------------------------
📈 Evaluating Accuracy...
Associative Task Final Accuracy: 1.00%
