============================================================
🚀 Starting Phase C1: Copy / Identity Task
============================================================
📦 Config: D_model=64, Layers=2, SeqLen=200
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 080/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.1e+01, S_norm=8.9, Mem(MB)=20]
Epoch 081/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0000, A_kappa=8.5e+01, S_norm=10.6, Mem(MB)=20]
Epoch 082/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0000, A_kappa=1.1e+02, S_norm=10.7, Mem(MB)=20]
Epoch 083/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=8.5e+01, S_norm=12.1, Mem(MB)=20]
Epoch 084/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=7.6e+01, S_norm=11.0, Mem(MB)=20]
Epoch 085/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.5e+01, S_norm=11.9, Mem(MB)=20]
Epoch 086/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=7.8e+01, S_norm=10.9, Mem(MB)=20]
Epoch 087/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=8.5e+01, S_norm=12.8, Mem(MB)=20]
Epoch 088/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=8.5e+01, S_norm=11.8, Mem(MB)=20]
Epoch 089/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=7.9e+01, S_norm=13.7, Mem(MB)=20]
Epoch 090/100: 100% 63/63 [01:10<00:00,  1.12s/it, Loss=0.0000, A_kappa=7.8e+01, S_norm=10.4, Mem(MB)=20]
Epoch 091/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.8e+01, S_norm=12.1, Mem(MB)=20]
Epoch 092/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0001, A_kappa=7.4e+01, S_norm=13.5, Mem(MB)=20]
Epoch 093/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=7.3e+01, S_norm=14.5, Mem(MB)=20]
Epoch 094/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=6.9e+01, S_norm=13.5, Mem(MB)=20]
Epoch 095/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.9e+01, S_norm=11.4, Mem(MB)=20]
Epoch 096/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0000, A_kappa=7.2e+01, S_norm=12.5, Mem(MB)=20]
Epoch 097/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0000, A_kappa=7.1e+01, S_norm=11.5, Mem(MB)=20]
Epoch 098/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=7.0e+01, S_norm=13.4, Mem(MB)=20]
Epoch 099/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=6.6e+01, S_norm=13.4, Mem(MB)=20]
Epoch 100/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0000, A_kappa=6.7e+01, S_norm=11.6, Mem(MB)=20]
✅ Epoch 100 Completed | Avg Loss: 0.0000
------------------------------------------------------------
📈 Evaluating Accuracy...
Copy Task Final Accuracy: 100.00%
